age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
39,6,77516,1,13,3,9,4,1,2,2174,0,40,1
50,2,83311,1,13,1,5,3,1,2,0,0,13,1
38,1,215646,4,9,2,7,4,1,2,0,0,40,1
53,1,234721,3,7,1,7,3,5,2,0,0,40,1
28,1,338409,1,13,1,6,1,5,1,0,0,40,13
37,1,284582,11,14,1,5,1,1,1,0,0,40,1
49,1,160187,8,5,6,3,4,5,1,0,0,16,19
52,2,209642,4,9,1,5,3,1,2,0,0,45,1
31,1,45781,11,14,3,6,4,1,1,14084,0,50,1
42,1,159449,1,13,1,5,3,1,2,5178,0,40,1
37,1,280464,2,10,1,5,3,5,2,0,0,80,1
30,6,141297,1,13,1,6,3,2,2,0,0,40,8
23,1,122272,1,13,3,9,2,1,1,0,0,30,1
32,1,205019,6,12,3,4,4,5,2,0,0,50,1
40,1,121772,7,11,1,2,3,2,2,0,0,40,0
34,1,245487,9,4,1,11,3,3,2,0,0,45,21
25,2,176756,4,9,3,10,2,1,2,0,0,35,1
32,1,186824,4,9,3,8,6,1,2,0,0,40,1
38,1,28887,3,7,1,4,3,1,2,0,0,50,1
43,2,292175,11,14,2,5,6,1,1,0,0,45,1
40,1,193524,14,16,1,6,3,1,2,0,0,60,1
54,1,302146,4,9,4,3,6,5,1,0,0,20,1
35,4,76845,8,5,1,10,3,5,2,0,0,40,1
43,1,117037,3,7,1,11,3,1,2,0,2042,40,1
59,1,109015,4,9,2,1,6,1,1,0,0,40,1
56,5,216851,1,13,1,1,3,1,2,0,0,40,1
19,1,168294,4,9,3,2,2,1,2,0,0,40,1
54,0,180211,2,10,1,0,3,2,2,0,0,60,11
39,1,367260,4,9,2,5,4,1,2,0,0,80,1
49,1,193366,4,9,1,2,3,1,2,0,0,40,1
23,5,190709,6,12,3,13,4,1,2,0,0,52,1
20,1,266015,2,10,3,4,2,5,2,0,0,44,1
45,1,386940,1,13,2,5,2,1,2,0,1408,40,1
30,4,59951,2,10,1,9,2,1,2,0,0,40,1
22,6,311512,2,10,1,3,3,5,2,0,0,15,1
48,1,242406,3,7,3,8,6,1,2,0,0,40,4
21,1,197200,2,10,3,8,2,1,2,0,0,40,1
19,1,544091,4,9,7,9,1,1,1,0,0,25,1
31,1,84154,2,10,1,4,3,1,2,0,0,38,0
48,2,265477,6,12,1,6,3,1,2,0,0,40,1
31,1,507875,8,5,1,8,3,1,2,0,0,43,1
53,2,88506,1,13,1,6,3,1,2,0,0,40,1
24,1,172987,1,13,1,1,3,1,2,0,0,50,1
49,1,94638,4,9,4,9,6,1,1,0,0,40,1
25,1,289980,4,9,3,7,4,1,2,0,0,35,1
57,4,337895,1,13,1,6,3,5,2,0,0,40,1
53,1,144361,4,9,1,8,3,1,2,0,0,38,1
44,1,128354,11,14,2,5,6,1,1,0,0,40,1
41,6,101603,7,11,1,2,3,1,2,0,0,40,1
29,1,271466,7,11,3,6,4,1,2,0,0,43,1
25,1,32275,2,10,1,5,1,4,1,0,0,40,1
18,1,226956,4,9,3,3,2,1,1,0,0,30,0
47,1,51835,5,15,1,6,1,1,1,0,1902,60,15
50,4,251585,1,13,2,5,4,1,2,0,0,55,1
47,3,109832,4,9,2,5,4,1,2,0,0,60,1
43,1,237993,2,10,1,1,3,1,2,0,0,40,1
46,1,216666,15,3,1,8,3,1,2,0,0,40,21
35,1,56352,7,11,1,3,3,1,2,0,0,40,4
41,1,147372,4,9,1,9,3,1,2,0,0,48,1
30,1,188146,4,9,1,8,3,1,2,5013,0,40,1
30,1,59496,1,13,1,4,3,1,2,2407,0,40,1
32,0,293936,9,4,6,0,4,1,2,0,0,40,0
48,1,149640,4,9,1,11,3,1,2,0,0,40,1
42,1,116632,14,16,1,6,3,1,2,0,0,45,1
29,1,105598,2,10,2,1,4,1,2,0,0,58,1
36,1,155537,4,9,1,2,3,1,2,0,0,40,1
28,1,183175,2,10,2,9,4,1,1,0,0,40,1
53,1,169846,4,9,1,9,1,1,1,0,0,40,1
49,3,191681,2,10,1,5,3,1,2,0,0,50,1
25,0,200681,2,10,3,0,2,1,2,0,0,40,1
19,1,101509,2,10,3,6,2,1,2,0,0,32,1
31,1,309974,1,13,4,4,2,5,1,0,0,40,1
29,2,162298,1,13,1,4,3,1,2,0,0,70,1
23,1,211678,2,10,3,8,4,1,2,0,0,40,1
79,1,124744,2,10,1,6,5,1,2,0,0,20,1
27,1,213921,4,9,3,3,2,1,2,0,0,40,21
40,1,32214,6,12,1,9,3,1,2,0,0,40,1
67,0,212759,13,6,1,0,3,1,2,0,0,2,1
18,1,309634,3,7,3,3,2,1,1,0,0,22,1
31,5,125927,9,4,1,10,3,1,2,0,0,40,1
18,1,446839,4,9,3,4,4,1,2,0,0,30,1
52,1,276515,1,13,1,3,3,1,2,0,0,40,13
46,1,51618,4,9,1,3,1,1,1,0,0,40,1
59,1,159937,4,9,1,4,3,1,2,0,0,48,1
44,1,343591,4,9,2,2,4,1,1,14344,0,40,1
53,1,346253,4,9,2,4,2,1,1,0,0,35,1
49,5,268234,4,9,1,13,3,1,2,0,0,40,1
33,1,202051,11,14,1,6,3,1,2,0,0,50,1
30,1,54334,8,5,3,4,4,1,2,0,0,40,1
43,4,410867,14,16,3,6,4,1,1,0,0,50,1
57,1,249977,7,11,1,6,3,1,2,0,0,40,1
37,1,286730,2,10,2,2,6,1,1,0,0,40,1
28,1,212563,2,10,2,8,6,5,1,0,0,25,1
30,1,117747,4,9,1,4,1,2,1,0,1573,35,0
34,5,226296,1,13,1,13,3,1,2,0,0,40,1
29,5,115585,2,10,3,7,4,1,2,0,0,50,1
48,2,191277,14,16,1,6,3,1,2,0,1902,60,1
37,1,202683,2,10,1,4,3,1,2,0,0,48,1
48,1,171095,6,12,2,5,6,1,1,0,0,40,3
32,4,249409,4,9,3,3,2,5,2,0,0,40,1
76,1,124191,11,14,1,5,3,1,2,0,0,40,1
44,1,198282,1,13,1,5,3,1,2,15024,0,60,1
47,2,149116,11,14,3,6,4,1,1,0,0,50,1
20,1,188300,2,10,3,1,2,1,1,0,0,40,1
29,1,103432,4,9,3,2,4,1,2,0,0,40,1
32,3,317660,4,9,1,2,3,1,2,7688,0,40,1
17,0,304873,13,6,3,0,2,1,1,34095,0,32,1
30,1,194901,3,7,3,7,2,1,2,0,0,40,1
31,5,189265,4,9,3,9,4,1,1,0,0,40,1
42,1,124692,4,9,1,7,3,1,2,0,0,40,1
24,1,432376,1,13,3,4,5,1,2,0,0,40,1
38,1,65324,5,15,1,6,3,1,2,0,0,40,1
56,2,335605,4,9,1,3,3,1,2,0,1887,50,5
28,1,377869,2,10,1,4,1,1,1,4064,0,25,1
36,1,102864,4,9,3,8,2,1,1,0,0,40,1
53,1,95647,8,5,1,7,3,1,2,0,0,50,1
56,3,303090,2,10,1,4,3,1,2,0,0,50,1
49,5,197371,7,11,1,2,3,5,2,0,0,40,1
55,1,247552,2,10,1,4,3,1,2,0,0,56,1
22,1,102632,4,9,3,2,4,1,2,0,0,41,1
21,1,199915,2,10,3,3,2,1,1,0,0,40,1
40,1,118853,1,13,1,5,3,1,2,0,0,60,1
30,1,77143,1,13,3,5,2,5,2,0,0,40,6
29,6,267989,1,13,1,6,3,1,2,0,0,50,1
19,1,301606,2,10,3,3,2,5,2,0,0,35,1
47,1,287828,1,13,1,5,1,1,1,0,0,40,1
20,1,111697,2,10,3,9,2,1,1,0,1719,28,1
31,1,114937,6,12,1,9,3,1,2,0,0,40,1
35,0,129305,4,9,1,0,3,1,2,0,0,40,1
39,1,365739,2,10,2,2,4,1,2,0,0,40,1
28,1,69621,6,12,3,4,4,1,1,0,0,60,1
24,1,43323,4,9,3,3,4,1,1,0,1762,40,1
38,2,120985,4,9,1,2,3,1,2,4386,0,35,1
37,1,254202,1,13,1,4,3,1,2,0,0,50,1
46,1,146195,6,12,2,1,4,5,1,0,0,36,1
38,4,125933,11,14,1,6,3,1,2,0,0,40,14
43,2,56920,4,9,1,2,3,1,2,0,0,60,1
27,1,163127,7,11,1,9,1,1,1,0,0,35,1
20,1,34310,2,10,3,4,2,1,2,0,0,20,1
49,1,81973,2,10,1,2,3,2,2,0,0,40,1
61,3,66614,4,9,1,2,3,1,2,0,0,40,1
27,1,232782,2,10,3,4,2,1,1,0,0,40,1
19,1,316868,2,10,3,3,2,1,2,0,0,30,21
45,1,196584,7,11,3,6,4,1,1,0,1564,40,1
70,1,105376,2,10,3,1,5,1,2,0,0,40,1
31,1,185814,4,9,3,11,6,5,1,0,0,30,1
22,1,175374,2,10,1,3,3,1,2,0,0,24,1
36,1,108293,4,9,4,3,6,1,1,0,0,24,1
64,1,181232,3,7,1,2,3,1,2,0,2179,40,1
43,0,174662,2,10,2,0,4,1,1,0,0,40,1
47,5,186009,2,10,2,9,6,1,1,0,0,38,21
34,1,198183,4,9,3,9,4,1,1,0,0,40,1
33,1,163003,1,13,3,5,5,2,1,0,0,40,16
21,1,296158,4,9,3,2,2,1,2,0,0,35,1
52,0,252903,4,9,2,0,4,1,2,0,0,45,1
48,1,187715,4,9,1,2,3,1,2,0,0,46,1
23,1,214542,1,13,3,7,4,1,2,0,0,40,1
71,2,494223,2,10,4,4,6,5,2,0,1816,2,1
29,1,191535,4,9,2,2,4,1,2,0,0,60,1
42,1,228456,1,13,4,3,5,5,2,0,0,50,1
68,0,38317,12,2,2,0,4,1,1,0,0,20,1
25,1,252752,4,9,3,3,6,1,1,0,0,40,1
44,3,78374,11,14,2,5,6,2,1,0,0,40,1
28,1,88419,4,9,3,5,4,2,1,0,0,40,3
45,2,201080,11,14,1,4,3,1,2,0,0,40,1
36,1,207157,2,10,2,3,6,1,1,0,0,40,21
39,4,235485,6,12,3,5,4,1,2,0,0,42,1
